region,settlement,year,assets,assets_depreciation,assets_exhausted,assets_new,invest_budg,invest_fed,investment,wage,workers
Алтайский край,Барнаул,2008,183875.433,27.9,3.8,,27.1,10.7,17832.3,13917.0,181.4
Алтайский край,Барнаул,2009,204705.321,30.4,4.4,,30.2,15.4,13789.1,15117.0,174.2
Алтайский край,Барнаул,2010,213598.2,33.4,5.7,15405.9,26.0,14.1,16176.5,16564.0,171.9
Алтайский край,Барнаул,2011,244844.8,35.6,9.9,20858.6,27.4,14.4,22526.9,18574.6,169.8
Алтайский край,Барнаул,2012,278479.5,36.9,9.5,28649.5,32.9,17.5,19033.8,21753.0,170.7
Алтайский край,Барнаул,2013,307051.5,40.0,9.9,27012.4,26.8,10.5,18552.1,24449.4,171.4
Алтайский край,Барнаул,2014,282392.5,41.4,10.7,23352.9,20.2,8.4,24678.4,26523.4,169.8
Алтайский край,Барнаул,2015,298187.6,46.1,12.5,16755.6,32.2,9.7,18521.0,27433.4,167.2
Алтайский край,Барнаул,2016,325985.8,48.0,14.4,18623.1,33.2,9.6,19215.7,28937.3,163.5
Алтайский край,Барнаул,2017,352592.7,52.1,16.2,21368.4,27.3,8.4,19929.0,31013.5,158.3
Алтайский край,Барнаул,2018,372610.1,50.9,19.7,31695.0,19.2,4.2,30257.9,34651.1,157.8
Алтайский край,Барнаул,2019,430407.3,52.4,24.0,29633.6,24.3,5.6,31269.6,37855.1,157.2
Алтайский край,Бийск,2008,14432.256,51.6,14.2,,33.1,11.4,1822.9,10771.0,49.3
Алтайский край,Бийск,2009,18807.779,40.3,11.1,,25.9,17.0,2791.7,11845.0,48.3
Алтайский край,Бийск,2010,19967.1,42.5,11.9,1817.9,34.3,22.3,1702.6,13306.5,48.3
Алтайский край,Бийск,2011,23096.9,39.0,13.9,2399.8,27.4,15.8,2425.6,15008.6,49.1
Алтайский край,Бийск,2012,26111.1,39.3,11.1,2941.4,28.9,14.8,3988.7,17335.0,49.0
Алтайский край,Бийск,2013,30169.9,42.3,11.2,2509.3,26.3,11.8,3420.5,19558.2,48.7
Алтайский край,Бийск,2014,33344.5,46.1,11.2,1939.8,22.9,11.8,3109.5,20888.2,47.9
Алтайский край,Бийск,2015,34436.0,49.0,18.0,1970.9,29.0,26.1,3352.5,21802.4,45.3
Алтайский край,Бийск,2016,36673.2,52.8,21.8,1709.3,15.9,12.6,3466.0,22849.8,43.6
Алтайский край,Бийск,2017,38775.0,53.8,22.9,2580.4,16.1,14.2,3890.5,24558.8,42.7
Алтайский край,Бийск,2018,41924.0,53.2,21.2,3824.2,15.9,9.5,3645.7,27516.0,42.0
